,importance
Age,0.14776438311951073
Min,0.07128299716685203
FP,0.060050410758637304
FTA,0.028356749820012506
log1p_3PM,0.027631292820976594
PTS_per_min,0.025960404011843706
log1p_PF,0.01990954487472746
TOV,0.014469861808566398
OREB_per_min,0.009618143729788508
PTS_per_gp,0.007534842821492471
