player_id,season,node_id
1,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:703
2,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:708
3,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:713
4,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:718
5,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:723
6,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:728
7,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:733
8,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:738
9,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:742
10,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:747
11,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:752
12,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:757
13,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:762
14,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:767
15,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:772
16,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:777
17,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:782
18,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:787
19,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:791
20,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:796
21,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:801
22,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:806
23,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:811
24,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:816
25,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:821
26,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:826
27,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:831
28,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:836
29,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:841
30,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:846
31,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:851
32,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:856
33,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:861
34,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:866
35,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:871
36,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:875
37,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:880
38,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:884
39,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:886
40,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:891
41,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:896
42,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:901
43,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:906
